OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2025-06-07T18:12:54.353088,14.10720719,.0552877,30.3555,290.4211,179.9815,180.0865,0,U,694,999,9275,.35648E-3,.2985E-4,0
THOR AGENA D R/B,1964-002A,2025-06-07T17:37:31.877472,14.33819802,.0032688,99.1129,152.2246,340.7989,19.1960,0,U,733,999,19889,.10876E-3,.255E-5,0
SL-3 R/B,1964-053B,2025-06-07T23:13:29.755200,14.61083267,.0053612,65.0784,56.4238,33.0963,327.3472,0,U,877,999,22665,.67892E-4,.219E-5,0
SL-8 R/B,1967-045B,2025-06-08T02:12:21.368736,14.45371576,.0065356,74.0099,140.8037,215.3106,144.3715,0,U,2802,999,4944,.68184E-4,.217E-5,0
SL-8 R/B,1968-040B,2025-06-08T02:27:30.166272,15.01040688,.0024172,74.0300,153.7028,44.2803,316.0313,0,U,3230,999,7002,.16606E-3,.2093E-4,0
OAO 2,1968-110A,2025-06-07T20:20:17.990016,14.47114168,.0005249,34.9950,359.4727,161.8280,198.2599,0,U,3597,999,97929,.61226E-4,.207E-5,0
ISIS 1,1969-009A,2025-06-07T18:53:25.736352,11.30271766,.1706821,88.4514,185.2766,284.1495,57.6431,0,U,3669,999,31747,.76792E-4,.103E-5,0
SERT 2,1970-009A,2025-06-07T19:12:08.079264,13.58695679,.0005337,99.2391,112.4667,138.6192,238.1400,0,U,4327,999,74256,.39556E-4,-.12E-6,0
SL-3 R/B,1971-028B,2025-06-08T02:52:17.391072,15.44994873,.0024617,81.2436,26.1927,174.1004,186.0536,0,U,5118,999,94638,.30246E-3,.14458E-3,0
ASTEX 1,1971-089A,2025-06-07T17:11:16.600704,14.50397328,.0013621,92.7246,62.7865,297.8174,62.1651,0,U,5560,999,82244,.1091E-3,.425E-5,0
SL-8 R/B,1971-119B,2025-06-08T00:06:22.712256,14.32627294,.0571247,73.8888,326.7767,349.4678,9.4894,0,U,5730,999,61608,.25588E-3,.4734E-4,0
OAO 3 (COPERNICUS),1972-065A,2025-06-07T22:16:55.444800,14.59717383,.0005887,35.0065,62.3541,72.0861,344.3570,0,U,6153,999,80602,.67415E-4,.305E-5,0
ATLAS CENTAUR R/B,1972-065B,2025-06-07T21:04:13.688544,14.76773132,.0034862,35.0009,115.0108,219.6138,140.2013,0,U,6155,999,80060,.12234E-3,.857E-5,0
SL-8 R/B,1975-112B,2025-06-08T03:24:57.915072,14.38016163,.0016526,74.0591,163.8810,320.0376,39.9560,0,U,8459,999,59261,.10455E-3,.29E-5,0
SL-3 R/B,1977-057B,2025-06-07T22:54:26.015328,15.38608580,.0008399,97.5524,315.9156,182.4555,177.6650,0,U,10114,999,62600,.17932E-3,.6756E-4,0
SEASAT 1,1978-064A,2025-06-07T22:03:27.146880,14.45837500,.0001205,108.0050,269.1167,230.9150,129.1888,0,U,10967,999,46679,.11468E-3,.27E-5,0
SL-14 R/B,1979-011B,2025-06-07T22:53:21.509088,14.91480344,.0014601,82.5241,357.1179,253.8344,106.1269,0,U,11267,999,48782,.43884E-4,.465E-5,0
SL-8 R/B,1979-089B,2025-06-07T22:07:22.381248,14.42137130,.0014725,74.0689,239.5517,123.4835,236.7731,0,U,11574,999,39649,.66642E-4,.193E-5,0
SL-14 R/B,1980-005B,2025-06-07T20:28:31.720224,14.90502145,.0015885,82.5149,207.8155,5.7169,354.4228,0,U,11672,999,43554,.44678E-4,.462E-5,0
SL-8 R/B,1981-003B,2025-06-07T18:30:22.154400,14.99571487,.0305711,82.9326,182.0409,46.9974,315.6435,0,U,12139,999,27333,.53261E-3,.18078E-3,0
SL-3 R/B,1981-046B,2025-06-08T03:23:55.181760,15.35244368,.002123,81.2349,257.4377,250.7157,109.1786,0,U,12465,999,40930,.21233E-3,.7345E-4,0
METEOR PRIRODA,1981-065A,2025-06-07T20:40:17.668704,15.67701568,.0006154,97.4876,210.2401,188.1000,172.0162,0,U,12585,999,40106,.40395E-3,.44201E-3,0
SL-3 R/B,1981-103B,2025-06-08T04:15:29.777472,15.18094438,.001914,81.1592,174.5470,142.5009,217.7560,0,U,12904,999,93177,.16982E-3,.3502E-4,0
SL-3 R/B,1982-013B,2025-06-07T21:32:55.179168,15.19225830,.0024096,81.1743,122.1271,28.5519,331.7025,0,U,13068,999,36259,.17437E-3,.3725E-4,0
SL-3 R/B,1982-039B,2025-06-08T03:41:00.930336,15.08169650,.0035306,81.1768,171.4384,135.8109,224.5945,0,U,13154,999,34050,.12034E-3,.191E-4,0
SL-3 R/B,1982-079B,2025-06-08T03:30:53.532288,15.21279247,.0026611,81.1459,156.3237,16.5350,343.6743,0,U,13403,999,33613,.20571E-3,.4667E-4,0
SL-14 R/B,1982-092B,2025-06-08T03:39:40.694112,14.86315927,.0021723,82.5692,38.1415,128.9815,35.2217,0,U,13553,999,30922,.4077E-4,.385E-5,0
SL-3 R/B,1983-010B,2025-06-07T23:39:30.552192,15.38324734,.0018488,81.1059,336.7369,282.9683,76.9492,0,U,13819,999,31596,.21094E-3,.8041E-4,0
